ID,is_lens,Einstein_area,numb_pix_lensed_image,flux_lensed_image_in_sigma
100137,0,6.75E-12,0,0
100138,1,3.59E-11,139,424.204
100139,0,9.84E-10,0,0
100140,1,1.25E-10,78,117.308
100141,0,3.40E-11,0,0
100142,0,1.41E-11,0,0
100143,0,4.35E-11,0,0
100144,0,2.33E-10,0,0
100145,0,2.07E-11,0,0
100146,0,9.38E-10,0,0
100147,1,2.42E-10,17,21.3893
100148,1,1.99E-09,77,132.94
100149,1,8.62E-10,102,138.562
100150,1,8.49E-11,177,460.064
100151,0,7.45E-10,0,0
100152,1,2.85E-11,124,355.375
100153,1,2.08E-11,323,1510.44
100154,0,6.85E-12,0,0
100155,0,3.06E-11,0,0
100156,0,2.62E-09,0,0
100157,1,1.22E-10,526,2249.94
100158,0,5.03E-10,0,0
100159,0,6.75E-12,0,0
100160,0,3.45E-10,0,0
100161,0,1.58E-10,0,0
100162,1,2.57E-09,2870,37378.1
100163,0,4.58E-11,0,0
100164,1,1.67E-09,108,247.297
100165,0,6.60E-10,0,0
100166,1,4.27E-10,41,46.5553
100167,0,1.09E-09,0,0
100168,0,5.17E-11,0,0
100169,0,1.90E-09,0,0
100170,1,1.41E-11,75,112.564
100171,0,7.89E-12,0,0
100172,1,1.84E-09,470,969.51
100173,0,8.53E-10,0,0
100174,0,1.03E-10,0,0
100175,0,4.27E-11,0,0
100176,1,8.01E-11,122,156.258
100177,0,1.27E-10,0,0
100178,0,1.98E-09,0,0
100179,0,4.59E-10,0,0
100180,1,1.46E-11,38,49.2088
100181,0,8.25E-10,0,0
100182,0,6.85E-12,0,0
100183,1,8.56E-11,321,860.488
100184,1,2.16E-11,282,1036.41
100185,0,4.31E-11,0,0
100186,0,1.60E-10,0,0
100187,1,8.14E-10,0,0
100188,0,5.59E-11,0,0
100189,0,6.95E-12,0,0
100190,1,1.71E-10,221,406.937
100191,0,1.84E-09,0,0
100192,1,3.28E-11,0,0
100193,0,4.31E-11,0,0
100194,0,8.23E-11,0,0
100195,0,2.84E-10,0,0
100196,1,5.84E-10,14,19.6892
100197,0,1.80E-11,0,0
100198,1,1.69E-10,378,1188.55
100199,1,2.17E-09,65,181.895
100200,1,1.69E-10,203,421.156
100201,1,6.28E-11,214,995.737
100202,0,5.41E-11,0,0
100203,1,1.42E-09,30,54.5149
100204,0,7.47E-12,0,0
100205,0,1.18E-09,0,0
100206,0,1.27E-11,0,0
100207,0,8.20E-12,0,0
100208,1,4.20E-11,100,178.147
100209,1,1.31E-11,250,2525.38
100210,0,3.23E-11,0,0
100211,0,2.03E-11,0,0
100212,1,1.37E-10,111,130.059
100213,0,7.26E-12,0,0
100214,0,8.54E-10,0,0
100215,1,2.53E-10,380,1093.17
100216,0,3.58E-11,0,0
100217,1,2.21E-09,34,51.4827
100218,1,5.75E-11,0,0
100219,1,1.49E-10,107,198.207
100220,0,1.88E-11,0,0
100221,0,6.53E-10,0,0
100222,1,1.81E-10,94,161.267
100223,1,9.92E-11,405,959.735
100224,0,1.40E-09,0,0
100225,0,8.34E-11,0,0
100226,1,6.97E-10,27,44.4033
100227,1,8.85E-10,203,3916.66
100228,1,8.80E-10,0,0
100229,0,1.09E-09,0,0
100230,1,9.24E-12,69,219.426
100231,1,7.32E-10,54,80.0483
100232,1,7.89E-12,75,172.552
100233,0,1.83E-09,0,0
100234,0,1.42E-10,0,0
100235,1,6.19E-10,491,1030.39
100236,0,8.61E-12,0,0
100237,0,4.00E-10,0,0
100238,1,1.20E-11,72,177.128
100239,0,1.66E-10,0,0
100240,1,2.72E-10,398,1008.91
100241,0,1.01E-10,0,0
100242,0,2.26E-09,0,0
100243,1,3.50E-10,187,332.348
100244,0,2.32E-09,0,0
100245,1,1.98E-11,54,61.577
100246,0,2.21E-09,0,0
100247,0,2.11E-11,0,0
100248,0,9.10E-11,0,0
100249,1,2.24E-09,254,398.739
100250,1,8.69E-10,336,507.86
100251,1,7.33E-11,74,89.2125
100252,0,6.95E-12,0,0
100253,0,7.68E-12,0,0
100254,0,2.26E-10,0,0
100255,0,5.14E-10,0,0
100256,1,9.75E-12,158,467.737
100257,0,9.07E-11,0,0
100258,1,2.90E-10,754,6580.78
100259,1,1.22E-09,66,74.3842
100260,0,1.42E-11,0,0
100261,0,9.13E-12,0,0
100262,1,3.82E-11,123,355.819
100263,1,8.81E-10,0,0
100264,1,2.09E-10,21,24.983
100265,0,6.19E-10,0,0
100266,1,2.26E-09,20,22.6526
100267,0,4.69E-10,0,0
100268,1,2.47E-10,133,304.06
100269,1,1.23E-11,0,0
100270,0,1.73E-10,0,0
100271,0,2.47E-11,0,0
100272,1,1.56E-11,166,1627.74
100273,1,7.87E-11,38,44.9151
100274,1,2.83E-09,135,164.279
100275,1,9.54E-10,34,45.4161
100276,1,6.40E-10,500,1244.11
100277,0,1.06E-11,0,0
100278,0,3.27E-11,0,0
100279,1,1.39E-11,0,0
100280,0,1.26E-10,0,0
100281,1,1.41E-09,0,0
100282,0,2.73E-11,0,0
100283,0,5.16E-10,0,0
100284,0,1.91E-11,0,0
100285,0,2.72E-11,0,0
100286,1,2.06E-09,429,535.218
100287,1,5.96E-11,183,506.683
100288,1,1.12E-09,741,1802.72
100289,0,7.91E-10,0,0
100290,1,9.21E-10,577,1202.48
100291,1,1.58E-11,77,151.824
100292,1,1.09E-11,43,60.0499
100293,1,1.95E-10,254,561.531
100294,0,1.35E-10,0,0
100295,1,3.05E-11,418,1939.42
100296,1,2.17E-11,120,452.772
100297,0,3.84E-11,0,0
100298,0,2.42E-10,0,0
100299,0,2.95E-10,0,0
100300,1,1.72E-10,14,14.5284
100301,1,2.64E-10,315,564.112
100302,0,2.33E-10,0,0
100303,0,1.61E-11,0,0
100304,1,1.23E-11,57,133.542
100305,0,4.91E-11,0,0
100306,0,2.32E-09,0,0
100307,0,1.00E-09,0,0
100308,0,2.19E-09,0,0
100309,1,1.21E-09,0,0
100310,0,1.09E-10,0,0
100311,1,6.56E-11,234,408.521
100312,0,7.14E-11,0,0
100313,1,6.59E-11,169,427.053
100314,1,1.31E-10,0,0
100315,0,4.27E-10,0,0
100316,1,8.36E-11,245,537.544
100317,1,2.44E-09,2321,11773.3
100318,1,4.00E-10,440,917.512
100319,1,1.27E-10,109,305.702
100320,0,9.87E-11,0,0
100321,1,2.31E-09,240,351.308
100322,1,2.90E-11,0,0
100323,0,3.02E-10,0,0
100324,0,7.16E-12,0,0
100325,1,8.78E-11,175,347.315
100326,1,2.16E-10,219,445.723
100327,1,8.49E-11,275,919.237
100328,1,8.42E-11,287,1071.45
100329,0,1.80E-09,0,0
100330,1,4.59E-11,200,590.19
100331,1,1.51E-10,118,212.664
100332,1,2.41E-09,119,234.036
100333,0,5.14E-10,0,0
100334,0,2.04E-11,0,0
100335,0,1.22E-10,0,0
100336,0,1.41E-10,0,0
100337,1,2.79E-11,104,257.895
100338,0,1.07E-09,0,0
100339,0,1.41E-10,0,0
100340,0,3.52E-11,0,0
100341,1,1.83E-11,152,276.741
100342,0,1.01E-10,0,0
100343,1,9.65E-12,23,45.8472
100344,0,8.70E-10,0,0
100345,0,6.46E-11,0,0
100346,0,3.23E-11,0,0
100347,0,1.85E-10,0,0
100348,0,9.34E-11,0,0
100349,0,8.24E-11,0,0
100350,0,2.39E-10,0,0
100351,0,4.59E-11,0,0
100352,0,2.72E-11,0,0
100353,0,1.92E-11,0,0
100354,0,5.63E-11,0,0
100355,0,3.51E-10,0,0
100356,0,2.46E-10,0,0
100357,0,7.62E-10,0,0
100358,0,1.92E-11,0,0
100359,0,3.20E-11,0,0
100360,0,3.95E-11,0,0
100361,0,1.35E-10,0,0
100362,0,6.20E-11,0,0
100363,0,1.90E-11,0,0
100364,0,2.90E-11,0,0
100365,0,3.95E-11,0,0
100366,1,8.19E-10,74,122.336
100367,0,8.36E-10,0,0
100368,1,4.78E-11,145,370.132
100369,1,2.74E-10,156,190.369
100370,1,8.58E-11,258,1478.87
100371,0,1.41E-09,0,0
100372,0,2.43E-11,0,0
100373,0,5.27E-11,0,0
100374,0,2.19E-11,0,0
100375,0,6.15E-10,0,0
100376,0,1.06E-10,0,0
100377,1,9.00E-11,254,964.739
100378,0,2.24E-09,0,0
100379,0,2.32E-11,0,0
100380,1,4.91E-11,52,144.198
100381,1,2.84E-10,1010,27489.8
100382,1,4.65E-11,105,163.598
100383,0,2.00E-09,0,0
100384,1,1.52E-11,4,4.18961
100385,0,6.95E-11,0,0
100386,0,5.17E-11,0,0
100387,0,7.46E-10,0,0
100388,1,3.58E-11,139,927.686
100389,0,2.64E-11,0,0
100390,1,2.24E-11,72,117.391
100391,1,2.00E-09,92,118.315
100392,0,2.80E-09,0,0
100393,1,1.00E-09,20,34.9862
100394,1,1.01E-11,83,130.594
100395,1,1.21E-11,140,341.221
100396,1,1.57E-11,153,568.257
100397,0,8.51E-12,0,0
100398,0,2.55E-10,0,0
100399,1,1.03E-09,1514,6200.38
100400,0,1.31E-10,0,0
100401,1,8.28E-10,33,44.6358
100402,1,3.56E-11,0,0
100403,1,8.70E-10,28,31.0556
100404,1,1.86E-10,332,919.039
100405,1,2.27E-10,276,760.01
100406,0,9.55E-12,0,0
100407,1,4.73E-11,82,157.06
100408,0,7.16E-12,0,0
100409,0,2.00E-11,0,0
100410,0,1.17E-09,0,0
100411,0,3.02E-11,0,0
100412,1,1.77E-11,124,425.124
100413,1,1.14E-10,764,20132.9
100414,1,8.30E-10,15,20.3887
100415,1,2.10E-11,76,132.542
100416,0,3.10E-10,0,0
100417,0,1.86E-11,0,0
100418,0,5.63E-10,0,0
100419,0,1.37E-09,0,0
100420,0,3.31E-11,0,0
100421,1,9.44E-12,33,56.4769
100422,1,5.17E-11,161,333.72
100423,1,6.69E-11,306,1332.59
100424,0,6.70E-11,0,0
100425,0,8.99E-10,0,0
100426,1,3.09E-11,241,1309.38
100427,1,7.32E-11,137,285.044
100428,0,3.00E-10,0,0
100429,0,1.41E-10,0,0
100430,1,2.41E-10,398,1174.69
100431,1,7.31E-10,464,819.281
100432,0,1.15E-11,0,0
100433,1,3.36E-10,268,537.142
100434,1,2.04E-09,25,69.0698
100435,1,6.16E-10,23,36.8663
100436,0,2.57E-11,0,0
100437,0,8.58E-10,0,0
100438,1,4.16E-11,80,153.087
100439,1,9.36E-10,710,2486.91
100440,0,1.30E-09,0,0
100441,0,6.18E-11,0,0
100442,0,2.32E-09,0,0
100443,1,6.20E-10,12,14.6389
100444,1,8.17E-10,139,289.641
100445,0,4.45E-11,0,0
100446,1,3.90E-11,84,134.353
100447,0,1.71E-09,0,0
100448,0,1.87E-09,0,0
100449,0,4.77E-11,0,0
100450,1,1.17E-10,213,456.403
100451,0,7.98E-11,0,0
100452,0,1.59E-10,0,0
100453,1,3.06E-11,154,634.021
100454,0,7.21E-11,0,0
100455,0,4.99E-11,0,0
100456,1,1.84E-09,38,80.1068
100457,0,1.48E-10,0,0
100458,0,7.22E-11,0,0
100459,0,2.95E-10,0,0
100460,0,1.16E-11,0,0
100461,0,5.63E-10,0,0
100462,0,1.09E-10,0,0
100463,0,3.01E-10,0,0
100464,0,2.27E-09,0,0
100465,0,2.14E-11,0,0
100466,0,4.05E-10,0,0
100467,1,1.99E-09,72,103.16
100468,0,2.20E-11,0,0
100469,1,4.71E-10,186,471.808
100470,1,9.44E-11,112,195.641
100471,0,9.35E-10,0,0
100472,0,7.82E-10,0,0
100473,0,7.28E-11,0,0
100474,0,2.87E-10,0,0
100475,0,1.19E-10,0,0
100476,0,2.00E-11,0,0
100477,0,1.64E-09,0,0
100478,0,1.23E-11,0,0
100479,0,2.82E-10,0,0
100480,1,2.80E-10,896,2772.02
100481,0,1.16E-09,0,0
100482,1,2.45E-09,2190,9010.14
100483,1,3.78E-11,109,266.446
100484,1,1.19E-10,475,1236.73
100485,0,1.16E-11,0,0
100486,0,4.60E-11,0,0
100487,0,8.82E-12,0,0
100488,0,8.26E-10,0,0
100489,0,7.78E-12,0,0
100490,1,9.61E-10,625,1486.37
100491,1,1.47E-09,132,171.884
100492,0,1.81E-10,0,0
100493,0,4.03E-11,0,0
100494,0,8.37E-11,0,0
100495,1,1.86E-09,102,155.684
100496,1,1.46E-10,313,944.992
100497,0,4.99E-11,0,0
100498,1,2.69E-10,394,824.627
100499,0,4.59E-10,0,0
100500,0,1.91E-11,0,0
100501,0,2.29E-09,0,0
100502,1,1.21E-10,420,1440.71
100503,1,9.72E-10,548,1819.89
100504,0,2.23E-10,0,0
100505,1,1.59E-10,340,624.555
100506,0,6.92E-11,0,0
100507,0,1.01E-10,0,0
100508,0,1.67E-10,0,0
100509,0,5.49E-11,0,0
100510,1,9.12E-10,202,310.693
100511,0,1.44E-11,0,0
100512,0,8.85E-10,0,0
100513,1,1.12E-11,0,0
100514,1,8.72E-12,91,218.778
100515,0,7.37E-12,0,0
100516,1,2.16E-11,96,147.795
100517,0,7.79E-11,0,0
100518,0,1.99E-09,0,0
100519,0,4.04E-11,0,0
100520,1,6.63E-10,47,53.7369
100521,1,1.32E-11,262,5313.41
100522,0,6.15E-10,0,0
100523,1,1.17E-10,646,13110.3
100524,0,1.64E-10,0,0
100525,1,1.18E-09,778,1860.95
100526,0,8.77E-10,0,0
100527,1,9.75E-12,0,0
100528,0,2.81E-10,0,0
100529,1,4.25E-11,181,756.175
100530,0,2.24E-09,0,0
100531,1,2.32E-11,80,166.168
100532,1,2.05E-09,33,58.9886
100533,1,2.79E-10,10,15.8025
100534,1,9.54E-10,16,20.0307
100535,0,2.29E-09,0,0
100536,0,6.95E-12,0,0
100537,1,2.72E-11,5,5.59914
100538,0,2.88E-10,0,0
100539,0,2.21E-09,0,0
100540,1,8.79E-10,265,343.71
100541,0,2.03E-09,0,0
100542,0,6.96E-11,0,0
100543,0,5.42E-11,0,0
100544,0,2.42E-10,0,0
100545,1,5.66E-11,141,236.957
100546,1,8.84E-11,125,250.151
100547,1,3.56E-11,102,222.984
100548,1,1.34E-09,3,3.32205
100549,1,6.83E-10,165,344.489
100550,1,1.17E-11,23,43.4746
100551,0,1.09E-10,0,0
100552,0,1.15E-09,0,0
100553,1,3.59E-11,619,5720.3
100554,0,2.97E-11,0,0
100555,0,4.42E-11,0,0
100556,0,3.34E-11,0,0
100557,1,7.54E-10,0,0
100558,0,1.83E-09,0,0
100559,0,9.65E-11,0,0
100560,0,1.90E-09,0,0
100561,0,9.86E-10,0,0
100562,0,1.92E-09,0,0
100563,1,4.30E-10,806,5035.26
100564,0,2.04E-10,0,0
100565,0,4.10E-11,0,0
100566,1,1.48E-10,251,777.903
100567,0,1.15E-09,0,0
100568,0,2.34E-09,0,0
100569,0,1.63E-10,0,0
100570,1,2.00E-09,315,401.925
100571,0,4.66E-11,0,0
100572,1,1.45E-11,120,523.313
100573,1,2.68E-11,200,820.285
100574,1,9.91E-10,53,146.243
100575,0,1.64E-11,0,0
100576,1,3.44E-10,607,3365.58
100577,0,1.50E-10,0,0
100578,1,6.21E-11,193,561.028
100579,0,2.91E-11,0,0
100580,1,1.41E-09,586,1475.89
100581,0,1.49E-10,0,0
100582,0,2.32E-09,0,0
100583,1,2.20E-09,0,0
100584,1,2.57E-09,812,5731.77
100585,0,5.44E-11,0,0
100586,0,4.88E-11,0,0
100587,0,8.45E-10,0,0
100588,0,1.25E-11,0,0
100589,1,1.72E-11,92,231.292
100590,1,1.25E-10,164,273.667
100591,0,3.01E-11,0,0
100592,1,2.96E-11,268,1465.8
100593,0,1.69E-11,0,0
100594,0,6.16E-10,0,0
100595,1,2.36E-11,37,48.4954
100596,1,6.18E-10,0,0
100597,0,7.23E-11,0,0
100598,0,2.79E-11,0,0
100599,0,9.55E-12,0,0
100600,1,9.70E-10,36,51.4264
100601,0,1.15E-09,0,0
100602,1,1.98E-09,29,30.3492
100603,0,6.85E-12,0,0
100604,1,2.98E-10,218,377.747
100605,0,1.07E-09,0,0
100606,0,6.11E-11,0,0
100607,1,1.12E-09,8,9.62652
100608,0,7.36E-10,0,0
100609,0,1.46E-10,0,0
100610,1,5.32E-11,182,561.56
100611,0,5.71E-11,0,0
100612,1,5.38E-11,218,862.44
100613,1,3.68E-10,7,7.75217
100614,0,1.04E-10,0,0
100615,0,1.88E-09,0,0
100616,0,1.83E-11,0,0
100617,1,1.46E-10,930,10575.3
100618,1,3.22E-11,37,48.7422
100619,1,8.57E-11,47,75.4391
100620,1,9.40E-10,95,136.563
100621,0,6.08E-10,0,0
100622,0,2.02E-09,0,0
100623,1,2.09E-09,74,158.145
100624,0,2.95E-11,0,0
100625,0,1.08E-09,0,0
100626,1,2.46E-09,1057,2737.88
100627,0,1.25E-10,0,0
100628,0,5.11E-11,0,0
100629,0,8.41E-12,0,0
100630,0,2.79E-11,0,0
100631,1,1.57E-11,0,0
100632,0,5.09E-10,0,0
100633,1,2.47E-10,391,1287.74
100634,1,3.47E-11,213,423.381
100635,0,1.68E-10,0,0
100636,1,4.61E-11,164,638.67
100637,1,1.35E-09,0,0
100638,0,6.89E-10,0,0
100639,0,1.23E-09,0,0
100640,0,3.88E-11,0,0
100641,1,1.15E-09,214,702.207
100642,1,2.59E-11,235,670.767
100643,0,1.91E-11,0,0
100644,1,2.63E-11,22,36.4572
100645,0,1.20E-10,0,0
100646,0,9.11E-10,0,0
100647,0,8.87E-10,0,0
100648,0,9.24E-11,0,0
100649,0,8.30E-12,0,0
100650,1,1.44E-10,341,775.461
100651,0,2.74E-10,0,0
100652,0,1.90E-09,0,0
100653,1,1.96E-11,141,386.007
100654,0,4.85E-11,0,0
100655,0,1.08E-11,0,0
100656,1,9.89E-10,51,99.1785
100657,0,8.53E-11,0,0
100658,0,3.45E-10,0,0
100659,1,6.19E-10,64,94.2602
100660,0,2.76E-11,0,0
100661,1,6.24E-11,135,318.236
100662,0,2.16E-11,0,0
100663,1,2.19E-11,75,92.9242
100664,0,5.83E-10,0,0
100665,1,2.32E-09,2157,6874.79
100666,1,1.90E-09,84,189.058
100667,0,5.43E-11,0,0
100668,1,1.53E-11,79,133.324
100669,0,6.22E-11,0,0
100670,1,1.08E-11,42,93.011
100671,1,2.26E-09,126,191.494
100672,1,1.09E-09,0,0
100673,0,9.75E-11,0,0
100674,1,3.74E-11,170,547.707
100675,1,6.07E-10,183,1249.64
100676,0,3.77E-11,0,0
100677,0,2.54E-11,0,0
100678,1,2.40E-09,198,848.242
100679,1,2.03E-09,0,0
100680,0,3.34E-11,0,0
100681,1,8.35E-10,15,26.1713
100682,0,6.07E-11,0,0
100683,0,1.74E-10,0,0
100684,1,3.98E-11,61,71.6569
100685,0,3.39E-11,0,0
100686,0,1.33E-11,0,0
100687,1,8.52E-10,15,21.9387
100688,1,7.74E-10,129,297.248
100689,0,9.19E-11,0,0
100690,1,9.44E-12,92,392.544
100691,0,1.42E-10,0,0
100692,0,7.09E-11,0,0
100693,0,2.22E-09,0,0
100694,1,4.61E-11,30,42.2636
100695,0,5.52E-11,0,0
100696,1,1.54E-11,141,283.695
100697,1,1.10E-10,207,428.731
100698,1,6.23E-10,11,17.2231
100699,1,1.40E-11,100,244.932
100700,0,2.50E-09,0,0
100701,1,1.35E-11,28,42.6214
100702,0,2.24E-09,0,0
100703,1,6.24E-11,32,82.5923
100704,1,6.37E-10,15,16.3128
100705,0,6.20E-10,0,0
100706,0,2.11E-11,0,0
100707,1,2.72E-11,99,138.653
100708,1,2.73E-11,0,0
100709,0,1.31E-09,0,0
100710,0,5.47E-11,0,0
100711,1,1.67E-11,121,491.072
100712,1,1.07E-10,215,549.417
100713,1,7.89E-11,197,402.703
100714,1,1.48E-10,301,671.696
100715,0,2.46E-10,0,0
100716,1,5.17E-11,186,424.968
100717,0,2.00E-10,0,0
100718,0,8.70E-11,0,0
100719,0,1.05E-09,0,0
100720,0,1.81E-11,0,0
100721,0,1.35E-11,0,0
100722,1,3.33E-10,118,141.517
100723,0,2.24E-09,0,0
100724,0,1.16E-10,0,0
100725,0,1.17E-10,0,0
100726,1,4.56E-11,136,256.573
100727,0,4.37E-11,0,0
100728,1,2.83E-10,692,3005.68
100729,0,2.96E-10,0,0
100730,0,1.33E-11,0,0
100731,1,2.00E-10,210,321.132
100732,0,1.83E-09,0,0
100733,1,1.30E-10,385,1762.95
100734,1,1.18E-09,32,43.9764
100735,0,2.15E-11,0,0
100736,1,6.38E-11,151,241.401
100737,0,1.57E-09,0,0
100738,1,2.40E-09,29,31.412
100739,0,6.64E-11,0,0
100740,1,3.06E-11,189,1046.6
100741,0,6.73E-11,0,0
100742,1,2.59E-10,26,56.8352
100743,1,1.06E-11,75,149.833
100744,1,8.87E-10,54,95.4232
100745,0,5.58E-11,0,0
100746,1,1.03E-11,16,22.2987
100747,1,3.04E-10,19,27.7199
100748,0,1.97E-10,0,0
100749,0,2.05E-09,0,0
100750,0,1.97E-09,0,0
100751,1,1.11E-11,70,136.256
100752,0,2.96E-11,0,0
100753,1,5.27E-10,450,784.543
100754,1,8.92E-12,92,579.803
100755,0,7.93E-11,0,0
100756,1,1.42E-10,208,321.927
100757,0,1.37E-10,0,0
100758,0,3.84E-11,0,0
100759,1,2.77E-11,191,1016.23
100760,0,6.06E-10,0,0
100761,0,2.57E-09,0,0
100762,1,5.75E-11,465,3973.25
100763,1,5.27E-10,83,127.665
100764,1,7.47E-12,67,129.329
100765,0,3.12E-11,0,0
100766,1,9.61E-10,288,363.726
100767,0,4.23E-11,0,0
100768,0,7.07E-11,0,0
100769,0,3.90E-11,0,0
100770,0,4.59E-11,0,0
100771,0,7.55E-11,0,0
100772,0,7.06E-12,0,0
100773,0,3.35E-11,0,0
100774,0,3.30E-11,0,0
100775,0,8.41E-12,0,0
100776,0,4.51E-11,0,0
100777,0,8.97E-10,0,0
100778,1,1.06E-10,44,52.1514
100779,1,2.33E-11,126,390.177
100780,0,6.39E-11,0,0
100781,0,2.85E-11,0,0
100782,0,2.94E-11,0,0
100783,1,1.06E-10,227,376.03
100784,0,3.75E-10,0,0
100785,0,1.02E-10,0,0
100786,0,8.61E-12,0,0
100787,0,7.88E-11,0,0
100788,0,1.44E-09,0,0
100789,0,1.41E-09,0,0
100790,0,5.13E-11,0,0
100791,1,1.77E-11,71,119.949
100792,0,2.12E-09,0,0
100793,0,9.39E-11,0,0
100794,0,1.05E-10,0,0
100795,0,8.42E-10,0,0
100796,1,9.03E-12,0,0
100797,0,6.90E-11,0,0
100798,0,1.31E-10,0,0
100799,0,8.41E-12,0,0
100800,1,3.32E-11,316,2760.97
100801,1,6.34E-10,45,64.8285
100802,0,1.98E-10,0,0
100803,0,1.86E-09,0,0
100804,0,6.61E-10,0,0
100805,0,6.53E-10,0,0
100806,0,9.55E-12,0,0
100807,0,6.16E-10,0,0
100808,1,3.14E-11,0,0
100809,1,2.42E-09,375,1072.21
100810,0,7.70E-10,0,0
100811,1,1.20E-10,302,816.442
100812,0,5.35E-10,0,0
100813,1,3.01E-10,0,0
100814,1,2.48E-11,199,782.382
100815,0,1.48E-11,0,0
100816,0,8.41E-10,0,0
100817,1,2.58E-10,306,619.524
100818,0,2.88E-10,0,0
